S.NO,STATES,YEAR,RAPE,KIDNAP & ABDUCTION,DOWRY DEATHS,CRUETLY BY HUSBAND OR HIS RELATIVES,HUMAN TRAFFICKING,ASSAULT ON MODESTY,SEXUAL HARRASSMENT,others,tot
6,Goa,2017,76,61,1,21,38,134,31,1,369
7,Gujarat,2017,477,1259,9,3223,5,1058,17,28,8133
8,Haryana,2017,1099,2949,245,3326,12,2031,179,57,11370
9,Himachal Pradesh,2017,249,242,3,191,0,397,52,8,1246
10,Jammu & Kashmir,2017,296,931,8,377,0,1417,41,0,3129
11,Jharkhand,2017,914,1033,248,998,19,748,104,4,5911
12,Karnataka,2017,546,967,206,2332,12,5763,212,236,14078
13,Kerala,2017,2003,184,12,2856,7,4413,421,21,11057
14,Madhya Pradesh,2017,5562,5200,632,6099,42,9252,277,27,29788
15,Maharashtra,2017,1933,6248,233,6584,127,9392,919,248,31979
16,Manipur,2017,40,70,0,19,5,66,8,0,236
17,Meghalaya,2017,119,54,1,20,0,88,21,0,567
18,Mizoram,2017,25,0,0,20,0,64,2,0,301
19,Nagaland,2017,10,7,0,3,0,12,0,3,79
20,Odisha,2017,2070,2773,326,2525,22,9132,490,21,20098
21,Punjab,2017,530,1099,68,1199,1,933,22,7,4620
22,Rajasthan,2017,3305,3838,457,11508,7,4883,24,86,25993
23,Sikkim,2017,17,27,0,5,0,21,7,0,163
24,Tamil Nadu,2017,283,859,48,984,7,744,9,403,5397
25,Telangana,2017,552,934,251,7838,77,4409,1160,79,17521
26,Tripura,2017,95,90,33,348,0,225,9,0,972
27,Uttar Pradesh,2017,4246,14993,2524,12653,10,12607,91,25,56011
28,Uttarakhand,2017,374,371,60,394,3,435,4,6,1944
29,West Bengal,2017,1084,4232,499,16800,71,3832,448,67,30992
30,A & N Islands,2017,13,3,1,4,0,38,11,0,132
31,Chandigarh,2017,65,138,1,121,0,100,12,0,453
32,D&N Haveli,2017,1,0,0,4,0,3,0,0,20
33,Daman & Diu,2017,7,0,0,5,0,6,1,0,26
34,Delhi UT,2017,1229,3783,120,2735,13,2874,619,6,13076
35,Lakshadweep,2017,0,0,0,2,0,0,0,0,6
36,Puducherry,2017,7,9,2,5,0,33,4,0,147
1,Andhra Pradesh,2018,971,697,140,6831,67,4445,1802,152,16438
2,Arunachal Pradesh,2018,67,87,0,60,0,103,12,0,368
3,Assam,2018,1648,6401,173,11136,113,4180,171,37,27728
4,Bihar,2018,651,7951,1107,2539,3,262,30,49,16920
5,Chhattisgarh,2018,2091,1842,79,503,18,1854,184,15,8587
6,Goa,2018,61,78,0,9,49,125,26,7,362
7,Gujarat,2018,553,1024,9,2923,10,1208,12,34,8329
8,Haryana,2018,1296,3419,216,4154,13,2671,192,43,14326
9,Himachal Pradesh,2018,344,341,4,183,0,513,78,10,1633
10,Jammu & Kashmir,2018,320,1061,8,325,0,1597,25,1,3437
11,Jharkhand,2018,1090,1018,252,1032,41,1378,37,9,7083
12,Karnataka,2018,492,1240,200,2053,16,5204,138,179,13514
13,Kerala,2018,1945,173,17,2046,56,4544,461,4,10461
14,Madhya Pradesh,2018,5433,6126,547,4159,33,8790,270,40,28942
15,Maharashtra,2018,2142,6825,200,6862,208,10835,1074,200,35497
16,Manipur,2018,52,85,0,14,3,56,8,0,271
17,Meghalaya,2018,87,58,1,18,1,95,16,2,571
18,Mizoram,2018,50,1,0,6,0,67,1,0,249
19,Nagaland,2018,10,35,0,3,0,10,5,1,75
20,Odisha,2018,918,2611,372,1984,33,9973,506,10,20274
21,Punjab,2018,831,1266,67,1470,1,956,19,6,5302
22,Rajasthan,2018,4335,4247,404,12250,4,5249,34,62,27866
23,Sikkim,2018,16,7,1,1,1,23,5,0,172
24,Tamil Nadu,2018,331,896,55,789,14,814,14,386,5822
25,Telangana,2018,606,1121,186,6286,73,4567,878,81,16027
26,Tripura,2018,97,139,18,303,0,165,6,2,907
27,Uttar Pradesh,2018,3946,15381,2444,14233,9,12555,17,27,59445
28,Uttarakhand,2018,561,502,63,622,1,548,8,0,2817
29,West Bengal,2018,1069,4249,444,16951,52,3399,391,97,30394
30,A & N Islands,2018,30,2,0,4,0,35,4,0,147
31,Chandigarh,2018,86,139,6,93,0,100,3,0,442
32,D&N Haveli,2018,7,0,0,1,0,6,2,0,38
33,Daman & Diu,2018,3,0,0,4,0,5,1,0,16
34,Delhi UT,2018,1215,3715,153,3416,35,2705,552,1,13640
35,Lakshadweep,2018,2,0,0,1,0,0,1,0,11
36,Puducherry,2018,0,14,0,8,0,60,9,4,166
1,Andhra Pradesh,2019,1086,589,112,7851,69,4444,1892,88,17746
2,Arunachal Pradesh,2019,63,68,1,54,1,80,6,0,317
3,Assam,2019,1773,6989,156,11943,153,4619,385,12,30025
4,Bihar,2019,730,9025,1120,2397,1,312,11,40,18587
5,Chhattisgarh,2019,1036,2033,76,732,25,1316,232,12,7689
6,Goa,2019,72,52,1,9,34,119,37,1,329
7,Gujarat,2019,528,922,9,3619,8,1048,16,24,8799
8,Haryana,2019,1480,2803,248,4867,8,2581,173,28,14683
9,Himachal Pradesh,2019,359,337,4,228,0,498,72,10,1636
